note_name,section_name,section_id,note_description,section_description
Consult,Allergies,allergies,Notes generated when a specialst intervenes in a patient's care.,Patient allergies to medication and food of varying severity.
Consult,Assessment And Plan,assessment-and-plan,Notes generated when a specialst intervenes in a patient's care.,An overview of the problems that are occuring and the plan to address each problem.
Consult,Chief Complaint,chief-complaint,Notes generated when a specialst intervenes in a patient's care.,The reason why the patient came to the hospital.
Consult,Current Medications,current-medications,Notes generated when a specialst intervenes in a patient's care.,Medications that the patient are taking at home.
Consult,Family History,family-history,Notes generated when a specialst intervenes in a patient's care.,Medical history of family members.
Consult,History Of Present Illness,history-of-present-illness,Notes generated when a specialst intervenes in a patient's care.,"A description of the events surrounding the reason why the patient came to the hospital: Symptom onset, duration, severity and associatating factors."
Consult,Infusions,infusions,Notes generated when a specialst intervenes in a patient's care.,Medications classified as a constant infusion.
Consult,Labs / Imaging,labs-imaging,Notes generated when a specialst intervenes in a patient's care.,Lab and radiological results.
Consult,Last Dose Of Antibiotics,last-dose-of-antibiotics,Notes generated when a specialst intervenes in a patient's care.,Time of the last dose of antibiotic medications.
Consult,Medication History,medication-history,Notes generated when a specialst intervenes in a patient's care.,Medications that the patient are taking at home.
Consult,Other Medications,other-medications,Notes generated when a specialst intervenes in a patient's care.,Other medications the patient is receiving.
Consult,Past Medical History,past-medical-history,Notes generated when a specialst intervenes in a patient's care.,Medical problems a patient has.
Consult,Past Surgical History,past-surgical-history,Notes generated when a specialst intervenes in a patient's care.,All surgeries the patient has had in their past.
Consult,Physical Examination,physical-examination,Notes generated when a specialst intervenes in a patient's care.,Evalutating anatomic finds of a patient through palpation and auscultation.
Consult,Reason,reason,Notes generated when a specialst intervenes in a patient's care.,Why the consulting team was brought in for the patient's care.
Consult,Review of Systems,review-of-systems,Notes generated when a specialst intervenes in a patient's care.,A generalized review of potential symptoms that the patient might not have addressed in the chief complaint or history of present illness.
Consult,Social and Family History,social-and-family-history,Notes generated when a specialst intervenes in a patient's care.,Combination of social and family history.
Consult,Social History,social-history,Notes generated when a specialst intervenes in a patient's care.,"History of occupation, recreational activities, and living situation."
Discharge summary,addendum,addendum,"A discharge summary describes a patient's stay at a hospital and the care they received.  They can also include follow up instructions, medications and a schedule for future appointments.",An addition to the note.
Discharge summary,Allergies,allergies,"A discharge summary describes a patient's stay at a hospital and the care they received.  They can also include follow up instructions, medications and a schedule for future appointments.",Patient allergies to medication and food of varying severity.
Discharge summary,Chief Complaint,chief-complaint,"A discharge summary describes a patient's stay at a hospital and the care they received.  They can also include follow up instructions, medications and a schedule for future appointments.",The reason why the patient came to the hospital.
Discharge summary,Current Medications,current-medications,"A discharge summary describes a patient's stay at a hospital and the care they received.  They can also include follow up instructions, medications and a schedule for future appointments.",Medications that the patient are taking at home.
Discharge summary,Discharge Condition,discharge-condition,"A discharge summary describes a patient's stay at a hospital and the care they received.  They can also include follow up instructions, medications and a schedule for future appointments.",The stability of the patient upon discharge.
Discharge summary,Discharge Diagnosis,discharge-diagnosis,"A discharge summary describes a patient's stay at a hospital and the care they received.  They can also include follow up instructions, medications and a schedule for future appointments.",The diagnosis of the patient after being worked up in the hospital.
Discharge summary,Discharge Disposition,discharge-disposition,"A discharge summary describes a patient's stay at a hospital and the care they received.  They can also include follow up instructions, medications and a schedule for future appointments.",Where the patient is being discharged to.
Discharge summary,Discharge Instructions,discharge-instructions,"A discharge summary describes a patient's stay at a hospital and the care they received.  They can also include follow up instructions, medications and a schedule for future appointments.",Post discharge instructions regarding what the patient can and cannot do.
Discharge summary,Discharge Medications,discharge-medications,"A discharge summary describes a patient's stay at a hospital and the care they received.  They can also include follow up instructions, medications and a schedule for future appointments.",Medications that the patient will sent home with and to continue taking.
Discharge summary,facility,facility,"A discharge summary describes a patient's stay at a hospital and the care they received.  They can also include follow up instructions, medications and a schedule for future appointments.",The location the patient is going after discharge.
Discharge summary,Family History,family-history,"A discharge summary describes a patient's stay at a hospital and the care they received.  They can also include follow up instructions, medications and a schedule for future appointments.",Medical history of family members.
Discharge summary,History Of Present Illness,history-of-present-illness,"A discharge summary describes a patient's stay at a hospital and the care they received.  They can also include follow up instructions, medications and a schedule for future appointments.","A description of the events surrounding the reason why the patient came to the hospital: Symptom onset, duration, severity and associatating factors."
Discharge summary,Hospital Course,hospital-course,"A discharge summary describes a patient's stay at a hospital and the care they received.  They can also include follow up instructions, medications and a schedule for future appointments.",A summary of what happened during the patient's time in the hospital.
Discharge summary,Imaging,imaging,"A discharge summary describes a patient's stay at a hospital and the care they received.  They can also include follow up instructions, medications and a schedule for future appointments.","All image related orders placed by the physician including: CT, XRAY, ECHO, MRI, Ultrasound."
Discharge summary,Labs,labs,"A discharge summary describes a patient's stay at a hospital and the care they received.  They can also include follow up instructions, medications and a schedule for future appointments.",Laboratory values.
Discharge summary,Labs / Imaging,labs-imaging,"A discharge summary describes a patient's stay at a hospital and the care they received.  They can also include follow up instructions, medications and a schedule for future appointments.",Lab and radiological results.
Discharge summary,Major Surgical Or Invasive Procedure,major-surgical-or-invasive-procedure,"A discharge summary describes a patient's stay at a hospital and the care they received.  They can also include follow up instructions, medications and a schedule for future appointments.",Any procedures or surgies that occured while the patient was at the hospital.
Discharge summary,Medication History,medication-history,"A discharge summary describes a patient's stay at a hospital and the care they received.  They can also include follow up instructions, medications and a schedule for future appointments.",Medications that the patient are taking at home.
Discharge summary,Past Medical History,past-medical-history,"A discharge summary describes a patient's stay at a hospital and the care they received.  They can also include follow up instructions, medications and a schedule for future appointments.",Medical problems a patient has.
Discharge summary,Past Surgical History,past-surgical-history,"A discharge summary describes a patient's stay at a hospital and the care they received.  They can also include follow up instructions, medications and a schedule for future appointments.",All surgeries the patient has had in their past.
Discharge summary,Prenatal Screens,prenatal-screens,"A discharge summary describes a patient's stay at a hospital and the care they received.  They can also include follow up instructions, medications and a schedule for future appointments.",Screening of blood type and infections prior to delivery.
Discharge summary,Review of Systems,review-of-systems,"A discharge summary describes a patient's stay at a hospital and the care they received.  They can also include follow up instructions, medications and a schedule for future appointments.",A generalized review of potential symptoms that the patient might not have addressed in the chief complaint or history of present illness.
Discharge summary,Social History,social-history,"A discharge summary describes a patient's stay at a hospital and the care they received.  They can also include follow up instructions, medications and a schedule for future appointments.","History of occupation, recreational activities, and living situation."
Echo,Clinical Implications,clinical-implications,An ultrasound of the heart.,Why this study is important.
Echo,Conclusions,conclusions,An ultrasound of the heart.,Interpretation of the findings in relation to the patient's condition.
Echo,Findings,findings,An ultrasound of the heart.,Specific finidngs during the study.
Echo,Impression,impression,An ultrasound of the heart.,Overall summerization of the study.
Echo,Indication,indication,An ultrasound of the heart.,Why the study was performed.
Echo,Patient/Test Information,patient-test-information,An ultrasound of the heart.,Basic and standardized information of the patient.
Physician,24 Hour Events,24-hour-events,Daily notes taken by the physician on their rounds as a part of a patient check up.,Description of what happened in the past 24 hours of the patients stay.
Physician,Allergies,allergies,Daily notes taken by the physician on their rounds as a part of a patient check up.,Patient allergies to medication and food of varying severity.
Physician,Assessment And Plan,assessment-and-plan,Daily notes taken by the physician on their rounds as a part of a patient check up.,An overview of the problems that are occuring and the plan to address each problem.
Physician,Chief Complaint,chief-complaint,Daily notes taken by the physician on their rounds as a part of a patient check up.,The reason why the patient came to the hospital.
Physician,Code Status,code-status,Daily notes taken by the physician on their rounds as a part of a patient check up.,"What should be done in the event of a cardiac or respiratory arrest, end of goals care."
Physician,Communication,communication,Daily notes taken by the physician on their rounds as a part of a patient check up.,Information about who to contact and the relation to the patient.
Physician,Attending Addendum,critical-care-attending-addendum,Daily notes taken by the physician on their rounds as a part of a patient check up.,The attending physician's addition to the note.
Physician,Current Medications,current-medications,Daily notes taken by the physician on their rounds as a part of a patient check up.,Medications that the patient are taking at home.
Physician,Disposition,disposition,Daily notes taken by the physician on their rounds as a part of a patient check up.,Where the patient will go within the hospital.
Physician,Family History,family-history,Daily notes taken by the physician on their rounds as a part of a patient check up.,Medical history of family members.
Physician,Flowsheet Data/Vitals,flowsheet-data-vitals,Daily notes taken by the physician on their rounds as a part of a patient check up.,Information pulled from flowsheets that are discretely kept within the ehr.
Physician,History Of Present Illness,history-of-present-illness,Daily notes taken by the physician on their rounds as a part of a patient check up.,"A description of the events surrounding the reason why the patient came to the hospital: Symptom onset, duration, severity and associatating factors."
Physician,Labs / Imaging,labs-imaging,Daily notes taken by the physician on their rounds as a part of a patient check up.,Lab and radiological results.
Physician,Last Dose Of Antibiotics,last-dose-of-antibiotics,Daily notes taken by the physician on their rounds as a part of a patient check up.,Time of the last dose of antibiotic medications.
Physician,Medication History,medication-history,Daily notes taken by the physician on their rounds as a part of a patient check up.,Medications that the patient are taking at home.
Physician,Past Medical History,past-medical-history,Daily notes taken by the physician on their rounds as a part of a patient check up.,Medical problems a patient has.
Physician,Past Surgical History,past-surgical-history,Daily notes taken by the physician on their rounds as a part of a patient check up.,All surgeries the patient has had in their past.
Physician,Physical Examination,physical-examination,Daily notes taken by the physician on their rounds as a part of a patient check up.,Evalutating anatomic finds of a patient through palpation and auscultation.
Physician,Review of Systems,review-of-systems,Daily notes taken by the physician on their rounds as a part of a patient check up.,A generalized review of potential symptoms that the patient might not have addressed in the chief complaint or history of present illness.
Physician,Social History,social-history,Daily notes taken by the physician on their rounds as a part of a patient check up.,"History of occupation, recreational activities, and living situation."
Radiology,Addendum,addendum,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.",An addition to the note.
Radiology,Comparison,comparison,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.",Comparing the new study to prior studies to determine interval changes.
Radiology,Contrast,contrast,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.",Was contrast introduced into the patient.
Radiology,Findings,findings,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.",Specific finidngs during the study.
Radiology,History,history,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.",Patient's clinical history warranting exam.
Radiology,Image Type,image-type,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.",The type of study being performed.
Radiology,Impression,impression,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.",Overall summerization of the study.
Radiology,Indication,indication,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.",Why the study was performed.
Radiology,Medical Condition,medical-condition,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.",History of the patient and why the patient needs the study.
Radiology,Procedure,procedure,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.",Procedure name.
Radiology,Reason,reason,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.",Why the consulting team was brought in for the patient's care.
Radiology,Technique,technique,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.",How the procedure was being performed.
Radiology,Wet Read,wet-read,"Diagnosis and other notes taken by a radiologiest based on images such as xrays, MRI, CAT scans etc.","Initial read, not the official read of the study."
